1,\N,\N,-16,183,-0.50000000,-1.41541183,0,2011-07-11,2005-06-06 09:56:02.505,DUOMDB,BPS,KJJNUDCHQKDKKYTRR,KHVUVXUPDBTADWND,\N
2,95,-17,-2,142,0.70000005,6.71928883,1,2008-11-12,2007-07-27 06:07:25.623,WMJBSCNYJRQBICXGTTQQVMMZEQMBIEBO,TOZTMMIYLDYSVXWWAIYCCHMPB,YWRSVIXISLVQUVT,LMXRBMKHWCPL,-121
3,245,131,-10,13,0.00000002,6.65400600,0,2005-02-22,\N,TREDUGIJDYNDXEKGZGQPBPP,UIMBSEUDBSHYDVRSYJWYXFUSBWPMFG,NTYCQRQWRGOLRK,KZHVKXQQRGZBGMKKTQMNRECPZHRYFTVRYJU,\N
4,79,-17,-48,196,\N,4.94137192,0,2013-08-31,2004-08-23 03:41:30.819,QZIGLLNSMURLUSSPGVKL,WGYFXSEXGOHSJEUSFGCXPZEOEFXSBKH,KJXAVFPBKKSUWJCQKDNGJO,KBWGWCRGNENGPFYMHODBGCXUPPJEWVDLE,96
5,98,23,83,-98,-0.39999998,\N,1,2004-06-24,2005-02-26 17:25:31.460,\N,VMBTYADDGJKPKBGAYYPPULD,GVCVMKJNWLGYJEZORTGBNCHIXOLXIGCMU,LQLBSZVPFRMWQLCVVJYXBMMUCBAKACSLJR,-154
6,51,-131,72,75,-1.20000005,7.35829258,0,2002-12-14,2004-04-28 00:38:45.591,THKFE,YXJCQNWUPFFBSXFHVBWRFPTCJKTBSDQHWDENCYDN,WGOVEL,NKQHLQKOKOSXYLPQRSNSSVAVKVQZJBIMPLLKWQ,152
7,145,-199,-142,-169,0.60000002,3.92856598,1,2008-05-06,2005-03-13 02:52:02.321,IOA,AFJCDRYHDPYUXRVRETNPJKGDLISWLOV,WSC,MHLDUDTORVZEWAMVBUVWPLRELGEKRDZRU,181
8,234,80,-190,79,-0.89999998,9.04094887,0,2014-09-08,2006-05-27 16:33:59.732,GBIDYRBFFVMWQXWMGQAMNCTUVWSJWFREAMPT,TKRUKRQSGJPHKBJJJHS,JHCXQGJPVWTH,XMDHYATCDEKLHLHYUBBPGHPBX,82
9,152,166,-17,-109,0.00000002,-8.24567223,0,2012-12-30,2002-11-21 02:21:30.800,JLBWHUIKIPUNRYKNSEUJ,BKJUNXTMMEVDRNLVJWCY,TMAOWPECMGXPBZNNYOIJHFTEURU,NQQMP,-183
10,\N,187,\N,9,-0.89999998,-5.76354933,0,2001-08-16,2004-03-14 14:38:31.974,WVVOQKUXYGYODXB,NQVXMUBTVTNOE,TGVOQFVZEKJNCBYV,FRP,158
11,224,-9,46,133,1.00000000,-5.90074205,0,2008-03-21,2004-07-31 06:04:55.924,V,DXGKYMGZCAQYONUWHRFYCROJQRQJXLGCDODISC,INDROV,MVEHMDQKMVQEPUSDTGLPHHKNPZVGVU,-174
12,56,-173,163,184,0.50000000,4.72118759,0,2011-09-26,2003-12-04 00:40:34.671,QIMFNSISZNKQREXPKNSNHRFTIKRRS,BCHQHZUFXMSGXDYTHWL,FYXYNTBMBTVHYRTTN,G,9
13,210,-175,123,107,-1.10000002,2.47115254,0,2001-02-26,2000-10-01 16:17:25.744,SOL,QMMFU,NGXMGLYPSTQHBWNUJ,FCWXZR,106
14,76,-140,63,-90,-0.50000000,-9.76916122,0,2002-08-15,2004-05-16 16:37:51.714,MSSEOVUOWEPQSAULBJQCP,ZTHOXXEUYPDMZKWVDPRXLWSWPLBJLIOKKKJSTSC,WPZPSHGQZIDSEWNQKNSUYJVVXDSISBHKIRRTRS,TSUGTPLUEKWCWKHWCQTGQIPYYCQIONQLPQM,-105
15,61,104,125,20,0.20000002,4.45358038,1,2006-06-12,2004-04-04 09:15:18.458,LLFJXLHMDBIIVXEESUDPNBSWHYBKKHSBSYMUBBBB,SDPUFVPPYBRGSPJXOLAAPMWWVNOFNF,HHQJOUOSPTZFTIHVCSOZRGBIOTEZKVX,QWPNWGAVRQUTHKPLKYSXG,173
16,91,181,164,\N,-1.50000000,1.43308401,\N,2009-06-23,2001-01-10 02:29:34.129,UHCKQFVVGZJYGF,TVLAVJMRTSXVQPIHLSJYYYWPDCYWKSDFFNO,TJIGYKPAQJJRSNKQQPWKEYOUPJKP,\N,-133
17,118,-101,113,-178,\N,-3.94876480,1,2007-02-28,2004-06-23 19:30:48.311,WHQAGYDIFJSRZPORLPTHRVDVQBMF,KOQMBQXJNKUDJKZBOXXQQEXHDCUWKPVVCDVOY,BFPTRKXWFUERRQGHOCVNJWDELQVN,GDKVSW,-130
18,\N,164,\N,56,0.30000001,-9.38991165,0,2013-05-01,2003-06-21 09:09:54.053,JXIPEYPZTUIMLKJTTJFPSVXDEGS,XGDHMIKXOCUCUQGJHYSGJDNQPJPIPOWXWGB,ALVOGUJTEGCIWSODOABWLROYIBFBCIUDVRQKXSR,HQMZNODFJOVHPXYYYS,-67
19,249,71,161,147,-0.80000001,-1.27036810,1,2013-04-13,2007-05-09 13:29:45.437,IYG,YIWHABDTEFLIYYQBXYBOVGDWKHFSSCMVGVNY,VSHTXBHVWKYOMTZZFACRDRGBOHRPEFJMKQID,CLOYFYEJCWILYSHPQYJE,-129
20,158,40,170,33,0.50000000,6.82767153,\N,2013-01-28,2003-08-20 02:29:33.624,XLSGYBSKJIJCTQ,X,LAPCYEPYXMKFTCGUEIQEIHADMGLE,GLQBXONIVKGPCSMVPRTXIINCJGMXOCUXJUMIPC,14
21,254,184,34,73,0.70000005,2.55742431,1,2004-04-30,2004-03-02 21:08:30.202,EESF,LCJIQMGGFQSXJ,KWVDOECEZHQHGIFOUFPJNCQYKOTMT,TMQMFKZSNOKRCNGRGKGJYPVWDMTT,149
22,62,-197,-28,-18,0.70000005,4.38247585,1,2013-06-03,2001-08-07 00:33:55.387,SIKXWJWJMKPXAHQGIJJOXUUVLUBYYESVSDDBDF,HUIWSFKCZVRVLAXHLSQZPNBKRJLMCPFSPYCMYFQ,NAMMQOOVYAHLVNRLCRIDWWHQPLNJUGJSFN,\N,-90
23,\N,84,\N,-121,0.50000000,-1.22314811,0,2006-11-14,2002-03-25 02:40:41.003,VHCCFNLSMY,UHAK,NSQRUKHPHJHHDU,BQ,-38
24,226,4,\N,-81,-0.29999998,-3.91981721,1,2004-03-27,2001-01-10 06:33:42.526,YSYEMIFNHSGUESCKXXIMIJUGDYNWWMDZ,NLQT,UNNVYLOBRCVOMTFSORVOENKSJNEEBNMVXATFN,GKMGSALYTWUKLINDTQEC,-37
25,86,\N,98,-137,-0.09999998,-3.31826806,1,2007-12-20,2001-07-15 19:04:45.442,VVVNSBXRRRLJTSHKOVHMPLIJMLGWVJG,TGLNIBCSVQUZ,UORDDHCOKXJED,SCNNPKXBHDOMNRKC,-167
26,\N,49,-171,\N,-1.39999998,\N,0,2005-08-07,2001-01-16 23:41:31.305,RKPYBBACSBOMCVVCSWCUGBLIXL,IXFUCOOPHHBKGJICSPW,ZBZPVDNOGFTZEDOZTROHQXTQDBXGF,ZKNFQWBSIPFL,14
27,38,-153,-23,-154,-0.89999998,3.72138262,0,2006-03-17,2003-09-08 01:38:18.031,YEQAIFOOKZGGJYMOFRIOXJRDRI,EKCCRBXCEOYPRNJLIIKJFKEH,HLVJGYSVEMSTLTRIQG,YGBIQMPGTJOMUIOEAYTYTYEHSOQMKGWSLTVH,-28
28,\N,81,197,-143,-1.50000000,-7.89406586,0,2007-10-30,2002-09-20 13:14:39.383,VBJYMGTRGFILHUTQDRHFXTJKKWYQIQMITPU,O,SRHYEYJTLOBXOUOHTTXUIDANXEELMCWPCU,\N,-62
